id,name,country,category,followers,engagement_rate,fit_score,commission_rate,cost,avg_views,avg_likes,gender_ratio,age_group
40,KOL_40,TH,fmcg,59695,0.1283,0.7309,0.2348,997.47,14927,1915,0.3,18-24
41,KOL_41,VN,fashion,86019,0.101,0.6093,0.2311,452.54,24285,2452,0.66,25-34
42,KOL_42,ID,home,92960,0.0949,0.9664,0.2025,424.48,26502,2515,0.15,18-24
43,KOL_43,VN,fashion,8784,0.2402,0.6188,0.3218,312.96,2589,621,0.49,18-24
44,KOL_44,PH,fashion,1090,0.3,0.9198,0.2676,127.77,362,108,0.52,18-24
45,KOL_45,SG,home,25906,0.0984,0.7673,0.275,1431.49,8288,815,0.61,35+
46,KOL_46,VN,fmcg,547471,0.0894,0.928,0.165,488.38,186136,16640,0.25,35+
47,KOL_47,VN,home,9540,0.1815,0.6079,0.2734,115.84,2728,495,0.32,35+
48,KOL_48,MY,fmcg,3471,0.1548,0.7945,0.2908,342.96,1145,177,0.47,18-24
49,KOL_49,MY,fmcg,7883,0.1923,0.9622,0.2977,649.01,2330,448,0.3,25-34
50,KOL_50,SG,fashion,976326,0.0637,0.6823,0.1688,6799.99,279855,17826,0.44,18-24
51,KOL_51,SG,beauty,7624,0.2698,0.9437,0.3407,2885.92,2512,677,0.56,18-24
52,KOL_52,PH,home,8022,0.1257,0.3352,0.2712,67.65,2339,294,0.34,25-34
53,KOL_53,SG,beauty,7906,0.1316,0.3136,0.35,1215.43,2334,307,0.22,18-24
54,KOL_54,MY,fashion,783415,0.0282,0.4731,0.1439,1367.36,257924,7273,0.67,35+
55,KOL_55,SG,beauty,587624,0.0853,0.4175,0.1978,5501.01,157638,13446,0.96,18-24
56,KOL_56,VN,fashion,50888,0.116,0.5627,0.1876,291.01,14711,1706,0.1,25-34
57,KOL_57,MY,home,729578,0.0941,0.6962,0.1733,1955.64,230966,21733,0.07,35+
58,KOL_58,VN,fmcg,7882,0.2332,0.9726,0.3207,188.31,2415,563,0.18,35+
59,KOL_59,PH,fmcg,2132808,0.0641,0.8422,0.1326,805.17,688515,44133,0.27,18-24
60,KOL_60,SG,fmcg,190873,0.0488,0.8253,0.1536,1735.17,63915,3119,0.85,18-24
61,KOL_61,VN,home,56507,0.1216,0.9162,0.2356,244.13,18359,2232,0.95,18-24
62,KOL_62,VN,fmcg,7658,0.213,0.7834,0.2948,146.36,1932,411,0.09,18-24
63,KOL_63,SG,home,41890,0.0755,0.6313,0.2226,1170.68,13182,995,0.35,25-34
64,KOL_64,VN,fashion,5118,0.1558,0.5209,0.2692,147.66,1658,258,0.48,35+
65,KOL_65,TH,fashion,78765,0.1209,0.8828,0.2161,1753.34,22167,2679,0.01,35+
66,KOL_66,ID,fmcg,1745,0.2996,0.7882,0.2603,142.97,439,131,0.57,25-34
67,KOL_67,PH,beauty,54657,0.0522,0.9587,0.2622,377.53,16947,884,0.49,35+
68,KOL_68,MY,fashion,17026,0.062,0.9644,0.1918,568.79,5821,360,0.42,35+
69,KOL_69,TH,fmcg,336651,0.0813,0.936,0.1505,1367.73,88110,7163,0.61,35+
70,KOL_70,ID,fashion,4404,0.2092,0.3568,0.3052,232.09,1181,247,0.0,25-34
71,KOL_71,VN,fmcg,71592,0.0662,0.7949,0.1871,159.49,19810,1311,0.92,35+
72,KOL_72,TH,fashion,35928,0.0879,0.7533,0.1871,807.56,9661,849,0.79,35+
73,KOL_73,TH,fmcg,84607,0.1388,0.6281,0.2743,1337.63,29351,4073,0.54,25-34
74,KOL_74,MY,beauty,1653,0.2974,0.7226,0.2729,438.82,560,166,0.59,18-24
75,KOL_75,ID,fmcg,3819754,0.0709,0.8342,0.1019,1310.45,1186794,84143,0.92,18-24
76,KOL_76,TH,fmcg,2828235,0.0579,0.3639,0.0833,1154.56,761899,44113,0.86,25-34
77,KOL_77,SG,beauty,74942,0.0813,0.8695,0.2255,3155.56,21311,1732,0.25,18-24
78,KOL_78,SG,fmcg,2695234,0.0789,0.3008,0.0913,2975.11,772156,60923,0.52,35+
79,KOL_79,ID,home,755789,0.0527,0.4869,0.1638,517.89,252479,13305,0.12,35+
80,KOL_80,PH,beauty,41365,0.1114,0.3096,0.2025,210.56,11270,1255,0.46,18-24
81,KOL_81,TH,fmcg,30181,0.101,0.6562,0.2635,669.16,9479,957,0.24,35+
82,KOL_82,MY,home,4122,0.2851,0.9155,0.3273,554.17,1242,354,0.34,35+
83,KOL_83,VN,fmcg,1042,0.1471,0.7109,0.3365,48.78,317,46,0.54,25-34
84,KOL_84,VN,fashion,9903,0.1982,0.9087,0.3072,349.2,2714,537,0.86,25-34
85,KOL_85,VN,fashion,8749,0.2636,0.5703,0.2995,292.34,2224,586,0.13,35+
86,KOL_86,PH,beauty,2644,0.2699,0.6682,0.3222,193.69,870,234,0.87,18-24
87,KOL_87,TH,fmcg,5342,0.1774,0.7549,0.3454,524.56,1834,325,0.87,18-24
88,KOL_88,VN,beauty,40771,0.1232,0.9982,0.2234,455.09,10596,1305,0.76,35+
89,KOL_89,TH,beauty,565231,0.0391,0.3203,0.1493,1055.92,165873,6485,0.43,18-24
90,KOL_90,SG,fmcg,84177,0.104,0.4225,0.242,1896.36,24990,2598,0.5,35+
91,KOL_91,PH,home,8555,0.2248,0.7668,0.3178,165.59,2300,517,0.07,25-34
92,KOL_92,TH,fashion,2254744,0.057,0.4751,0.1499,3277.61,787382,44880,0.48,18-24
93,KOL_93,VN,fmcg,6881,0.2467,0.5067,0.2774,112.98,2299,567,0.87,35+
94,KOL_94,TH,fashion,4819405,0.0563,0.9329,0.1107,4928.44,1389568,78232,0.22,18-24
95,KOL_95,ID,beauty,98835,0.133,0.7766,0.2703,1096.45,25354,3372,0.31,25-34
96,KOL_96,VN,fmcg,6977,0.2162,0.5066,0.2676,102.73,1880,406,0.79,25-34
97,KOL_97,PH,home,45720,0.1218,0.8773,0.2547,241.55,14204,1730,0.8,25-34
98,KOL_98,VN,fmcg,1590378,0.0599,0.7734,0.1467,553.02,543691,32567,0.37,25-34
99,KOL_99,TH,fmcg,9791,0.1198,0.8243,0.3322,586.53,3410,408,0.37,35+
100,KOL_100,SG,fashion,1410,0.2537,0.5296,0.3148,847.35,471,119,0.91,25-34
101,KOL_101,PH,beauty,25292,0.0628,0.5131,0.1897,149.08,8524,535,0.14,25-34
102,KOL_102,PH,beauty,9850,0.1972,0.4082,0.3334,258.44,3093,609,0.41,25-34
103,KOL_103,TH,beauty,7070,0.1411,0.4653,0.3481,630.45,2144,302,0.54,35+
104,KOL_104,PH,beauty,7523,0.177,0.9643,0.3163,312.03,2537,449,0.64,18-24
105,KOL_105,MY,fashion,6464,0.132,0.6952,0.3086,698.58,1854,244,0.33,18-24
106,KOL_106,ID,home,724933,0.0334,0.4013,0.1999,447.34,195641,6534,0.66,18-24
107,KOL_107,ID,home,6869,0.2377,0.5266,0.2552,169.89,2148,510,0.53,35+
108,KOL_108,SG,fashion,8344,0.2566,0.3763,0.3445,1912.39,2130,546,0.73,35+
109,KOL_109,PH,fmcg,70036,0.0952,0.999,0.2486,363.07,21525,2049,0.71,25-34
110,KOL_110,SG,home,2323,0.1471,0.3883,0.2881,390.62,732,107,0.53,25-34
111,KOL_111,VN,fashion,66387,0.054,0.897,0.223,340.35,18468,997,0.41,25-34
112,KOL_112,ID,fmcg,2557,0.1534,0.4784,0.2567,95.15,852,130,0.09,25-34
113,KOL_113,SG,home,7105,0.2668,0.7105,0.317,1369.3,2196,585,0.35,35+
114,KOL_114,SG,home,543482,0.0968,0.9779,0.1552,4143.22,173744,16818,0.51,18-24
115,KOL_115,MY,home,39392,0.1272,0.6894,0.2374,720.22,13154,1673,0.43,35+
116,KOL_116,SG,home,4432732,0.0603,0.6897,0.0529,2673.37,1251455,75462,0.7,25-34
117,KOL_117,PH,beauty,468075,0.0338,0.6964,0.1342,387.8,158514,5357,0.97,18-24
118,KOL_118,TH,home,38197,0.0802,0.4102,0.2577,459.75,11874,952,0.6,18-24
119,KOL_119,PH,fmcg,1815,0.2187,0.7634,0.2914,90.77,509,111,0.75,18-24
120,KOL_120,VN,home,2816,0.165,0.6406,0.2545,57.34,906,149,0.98,18-24
121,KOL_121,TH,home,5938,0.3,0.8349,0.262,508.53,1994,598,0.75,18-24
122,KOL_122,TH,beauty,9725,0.2408,0.8833,0.2897,1107.65,3190,768,0.04,18-24
123,KOL_123,VN,fmcg,20205,0.1379,0.7014,0.209,128.31,5880,810,0.02,25-34
124,KOL_124,MY,fashion,8538,0.3,0.3617,0.2936,830.59,2545,763,0.52,25-34
125,KOL_125,SG,beauty,882034,0.0511,0.4177,0.1731,4566.33,245924,12566,0.91,25-34
126,KOL_126,SG,fashion,3419,0.1316,0.4381,0.326,895.08,1190,156,0.08,35+
127,KOL_127,SG,home,83889,0.1217,0.9469,0.2664,3082.9,26151,3182,0.15,18-24
128,KOL_128,SG,beauty,92756,0.0684,0.3393,0.211,1882.24,30593,2092,0.04,25-34
129,KOL_129,SG,fmcg,180459,0.0859,0.3632,0.1663,1607.71,46459,3990,0.45,35+
130,KOL_130,PH,beauty,52143,0.1066,0.9704,0.2611,527.92,15848,1689,0.98,18-24
131,KOL_131,SG,fashion,32617,0.0471,0.9937,0.2164,1653.48,9313,438,0.39,25-34
132,KOL_132,MY,fmcg,16863,0.1324,0.3461,0.2084,330.69,5697,754,0.85,35+
133,KOL_133,TH,fmcg,449556,0.0375,0.9417,0.1329,950.81,117941,4422,0.31,25-34
134,KOL_134,VN,beauty,53054,0.1361,0.8803,0.2446,561.02,16732,2277,0.51,18-24
135,KOL_135,ID,fashion,3953,0.2765,0.8363,0.35,443.81,1067,295,0.08,18-24
136,KOL_136,TH,fashion,80748,0.147,0.3264,0.2397,1320.31,21450,3153,0.16,35+
137,KOL_137,TH,fashion,948344,0.0994,0.3306,0.217,3389.76,317117,31521,0.28,35+
138,KOL_138,PH,fashion,345370,0.0635,0.866,0.1568,594.91,115217,7316,0.46,25-34
139,KOL_139,SG,fashion,627336,0.0763,0.8718,0.2073,8281.51,160253,12227,0.64,25-34
140,KOL_140,MY,fashion,23446,0.1188,0.3873,0.2073,632.81,7963,946,0.15,25-34
141,KOL_141,PH,beauty,4637,0.2937,0.9513,0.2896,286.97,1351,396,0.24,18-24
142,KOL_142,TH,fashion,1461,0.144,0.8003,0.2638,302.9,438,63,0.92,25-34
143,KOL_143,MY,beauty,28191,0.1223,0.7307,0.2056,880.43,7660,936,0.55,35+
144,KOL_144,MY,fashion,65476,0.0489,0.5108,0.222,834.45,22872,1118,0.62,18-24
145,KOL_145,ID,fashion,9189,0.1875,0.6608,0.2791,394.96,2298,430,0.61,18-24
146,KOL_146,MY,beauty,34551,0.099,0.9823,0.219,1083.0,10563,1045,0.04,25-34
147,KOL_147,ID,beauty,2063887,0.0621,0.3473,0.1272,1077.42,708696,44010,0.76,18-24
148,KOL_148,VN,fmcg,9945,0.1749,0.8813,0.3481,189.28,2976,520,0.63,18-24
149,KOL_149,MY,home,8498,0.0978,0.8538,0.3433,472.04,2652,259,0.4,35+
150,KOL_150,MY,home,14799,0.1115,0.5499,0.2073,322.33,4453,496,0.44,25-34
151,KOL_151,TH,home,60678,0.07,0.7844,0.2601,755.61,21126,1478,0.42,25-34
152,KOL_152,VN,home,33652,0.0946,0.356,0.2106,92.6,10881,1029,0.72,18-24
153,KOL_153,SG,fmcg,56077,0.0953,0.9381,0.2075,1892.95,14489,1380,0.08,35+
154,KOL_154,ID,fmcg,77251,0.135,0.967,0.1835,498.58,19863,2681,0.24,35+
155,KOL_155,PH,home,7272,0.2492,0.4074,0.2872,105.88,1896,472,0.57,35+
156,KOL_156,VN,fashion,6150,0.2126,0.3794,0.2999,179.78,1934,411,0.91,18-24
157,KOL_157,VN,fmcg,5264,0.2202,0.7283,0.27,108.95,1454,320,0.85,25-34
158,KOL_158,TH,home,8292,0.3,0.9773,0.321,796.56,2636,790,0.54,25-34
159,KOL_159,TH,fashion,846386,0.0845,0.4219,0.1321,2030.45,237938,20105,0.79,18-24
160,KOL_160,SG,fashion,127561,0.0565,0.6272,0.1812,2382.44,33302,1881,0.07,25-34
161,KOL_161,SG,beauty,4015158,0.0474,0.5866,0.0625,4014.96,1170003,55458,0.64,25-34
162,KOL_162,VN,fashion,77811,0.0867,0.8462,0.2568,522.22,20510,1778,0.43,18-24
163,KOL_163,VN,fashion,643270,0.0366,0.5259,0.1546,463.0,222481,8142,0.52,25-34
164,KOL_164,VN,home,362779,0.0497,0.4921,0.1814,223.15,96817,4811,0.5,18-24
165,KOL_165,SG,home,86106,0.0597,0.8044,0.2643,2000.42,22200,1325,0.83,18-24
166,KOL_166,VN,beauty,5336,0.2487,0.5916,0.2998,241.67,1630,405,0.64,25-34
167,KOL_167,ID,fmcg,99783,0.0835,0.782,0.2216,483.98,32554,2718,0.2,35+
168,KOL_168,ID,home,6231,0.2736,0.9828,0.3015,280.17,1666,455,0.32,25-34
169,KOL_169,PH,fmcg,8366,0.1315,0.5031,0.2748,115.69,2254,296,0.81,35+
170,KOL_170,PH,home,34881,0.1239,0.6603,0.2297,166.49,9088,1126,0.95,35+
171,KOL_171,PH,fmcg,41552,0.0609,0.3354,0.2086,108.75,10454,636,0.85,25-34
172,KOL_172,PH,beauty,5333,0.2649,0.5562,0.307,236.9,1532,405,0.36,25-34
173,KOL_173,SG,beauty,9261,0.1929,0.8777,0.2629,2001.48,2414,465,0.39,25-34
174,KOL_174,SG,beauty,57920,0.1119,0.6564,0.1845,2313.63,15602,1745,0.71,25-34
175,KOL_175,SG,home,29521,0.1072,0.5296,0.1963,945.85,9905,1061,0.74,25-34
176,KOL_176,TH,fmcg,76494,0.1324,0.7961,0.2616,1333.78,22141,2931,0.33,18-24
177,KOL_177,VN,beauty,3448225,0.0431,0.9105,0.1097,1160.91,1001270,43154,0.97,35+
178,KOL_178,SG,fmcg,16731,0.0939,0.7403,0.1948,855.94,5577,523,0.24,35+
179,KOL_179,PH,fashion,215234,0.0426,0.5931,0.161,326.87,73845,3145,0.92,35+
180,KOL_180,PH,fmcg,28098,0.0988,0.9987,0.2114,199.19,7734,764,0.46,35+
181,KOL_181,VN,home,6804,0.2611,0.7765,0.311,150.85,1897,495,0.96,25-34
182,KOL_182,VN,fashion,39473,0.1643,0.8398,0.249,494.61,11870,1950,0.32,25-34
183,KOL_183,PH,home,45842,0.0732,0.6802,0.2755,178.59,12659,926,0.29,25-34
184,KOL_184,PH,fashion,1331474,0.0401,0.4795,0.0702,309.23,403944,16198,0.93,35+
185,KOL_185,VN,fashion,2789,0.2289,0.4697,0.3138,146.26,723,165,0.1,25-34
186,KOL_186,ID,fmcg,23178,0.1024,0.9752,0.2453,319.3,7743,792,0.48,18-24
187,KOL_187,MY,fashion,401199,0.0548,0.9356,0.1735,2312.75,102744,5630,0.91,18-24
188,KOL_188,PH,fashion,33040,0.1229,0.8853,0.2737,451.79,9445,1160,0.88,18-24
189,KOL_189,VN,fmcg,2758,0.2716,0.618,0.3389,101.27,758,205,0.85,25-34
190,KOL_190,VN,fashion,2845,0.1777,0.7538,0.2514,132.09,883,156,0.79,35+
191,KOL_191,PH,home,35318,0.0656,0.9279,0.1887,118.71,11571,759,0.1,18-24
192,KOL_192,TH,home,42512,0.0393,0.6127,0.2102,338.47,10721,421,0.26,25-34
193,KOL_193,VN,home,18142,0.1123,0.4118,0.249,94.19,5843,656,0.92,25-34
194,KOL_194,VN,home,4618,0.128,0.4072,0.2916,59.08,1436,183,0.91,35+
195,KOL_195,MY,fmcg,965709,0.0419,0.8283,0.1728,1805.78,288846,12102,0.08,35+
196,KOL_196,ID,home,9972,0.2555,0.6757,0.3354,315.93,2945,752,0.12,18-24
197,KOL_197,PH,fashion,74071,0.0502,0.8661,0.2313,361.36,22260,1117,0.56,35+
198,KOL_198,VN,fashion,50392,0.1158,0.8715,0.2378,456.44,12969,1501,0.42,35+
199,KOL_199,MY,home,1987,0.2498,0.9536,0.2909,326.69,693,173,0.14,35+
200,KOL_200,PH,fmcg,3709021,0.0749,0.9239,0.0876,794.17,1285202,96261,0.96,35+
201,KOL_201,ID,fashion,6697,0.142,0.5751,0.3335,327.11,1698,241,0.98,25-34
202,KOL_202,PH,home,81361,0.0835,0.4608,0.1955,148.41,21884,1827,0.94,35+
203,KOL_203,MY,fashion,133783,0.0846,0.8362,0.1406,1271.33,35098,2969,0.59,25-34
204,KOL_204,SG,fashion,16380,0.0578,0.6073,0.2554,1197.62,5684,328,0.06,35+
205,KOL_205,SG,home,1982145,0.0737,0.5232,0.0737,2398.22,533090,39288,0.99,35+
206,KOL_206,VN,fashion,5923,0.1577,0.7142,0.3126,217.31,1917,302,0.56,18-24
207,KOL_207,VN,fmcg,4949300,0.0565,0.6671,0.0908,544.66,1394552,78792,0.38,35+
208,KOL_208,MY,fmcg,39536,0.0776,0.864,0.2768,813.49,12166,944,0.53,25-34
209,KOL_209,TH,beauty,4331,0.1451,0.6149,0.3036,501.68,1507,218,0.19,25-34
210,KOL_210,VN,fashion,1647,0.249,0.8332,0.2979,148.21,497,123,0.3,18-24
211,KOL_211,PH,fashion,4113,0.2588,0.9997,0.3196,287.02,1388,359,0.2,18-24
212,KOL_212,TH,home,47101,0.0827,0.5515,0.2313,539.54,15848,1310,0.47,35+
213,KOL_213,SG,fashion,51973,0.1351,0.5898,0.2541,3197.71,13125,1773,0.26,35+
214,KOL_214,SG,fashion,64732,0.0659,0.461,0.2299,1993.8,21545,1419,0.94,25-34
215,KOL_215,ID,home,9005,0.3,0.6434,0.2669,252.62,2988,896,0.55,18-24
216,KOL_216,MY,beauty,668472,0.1129,0.6668,0.1964,3758.7,221171,24970,0.14,35+
217,KOL_217,SG,fmcg,3474,0.102,0.5612,0.3159,573.97,877,89,0.01,35+
218,KOL_218,MY,fmcg,12192,0.0916,0.9842,0.2606,493.18,3415,312,0.11,18-24
219,KOL_219,TH,fmcg,41584,0.0616,0.8707,0.1879,503.85,13722,845,0.46,18-24
220,KOL_220,VN,beauty,1947314,0.0417,0.3564,0.0594,290.73,586250,24446,0.38,25-34
221,KOL_221,VN,home,1154,0.2105,0.8917,0.3066,58.93,398,83,0.97,35+
222,KOL_222,PH,home,340928,0.0497,0.9213,0.1247,211.4,90104,4478,0.68,25-34
223,KOL_223,MY,fashion,690883,0.0688,0.8953,0.1787,3426.33,224925,15474,0.93,25-34
224,KOL_224,SG,home,4939,0.2357,0.7739,0.2884,1018.87,1613,380,0.14,35+
225,KOL_225,ID,beauty,75639,0.1164,0.3684,0.2141,489.53,25209,2934,0.61,35+
226,KOL_226,PH,fashion,6347,0.0987,0.9948,0.2856,196.28,1971,194,0.43,35+
227,KOL_227,VN,beauty,59816,0.0512,0.8586,0.1882,277.65,16217,830,0.38,35+
228,KOL_228,TH,fmcg,7383,0.1441,0.3036,0.286,291.87,2121,305,0.1,18-24
229,KOL_229,MY,home,8353,0.2122,0.3723,0.3054,404.97,2699,572,0.6,25-34
230,KOL_230,SG,fashion,112941,0.0487,0.3593,0.1772,1540.49,31013,1510,0.69,18-24
231,KOL_231,TH,fmcg,5933,0.1374,0.417,0.28,293.14,1561,214,0.36,18-24
232,KOL_232,TH,beauty,74985,0.0957,0.3749,0.2749,1198.61,21467,2054,0.84,25-34
233,KOL_233,VN,fashion,445550,0.0595,0.8765,0.15,615.41,150920,8979,0.95,18-24
234,KOL_234,VN,fmcg,33283,0.1666,0.504,0.2768,203.22,11522,1919,0.24,25-34
235,KOL_235,SG,fashion,7437,0.1954,0.4399,0.3182,1573.27,2423,473,0.03,35+
236,KOL_236,PH,fmcg,37479,0.0827,0.785,0.1939,171.15,10610,877,0.24,35+
237,KOL_237,PH,fmcg,7932,0.2249,0.9935,0.3034,228.56,2691,605,0.42,18-24
238,KOL_238,MY,beauty,476994,0.0865,0.7157,0.1969,2886.62,162345,14042,0.66,18-24
239,KOL_239,TH,fmcg,15806,0.1064,0.7527,0.1906,385.05,4152,441,0.26,35+
240,KOL_240,PH,fmcg,83137,0.1062,0.612,0.2572,338.33,28984,3078,0.15,18-24
241,KOL_241,VN,fashion,48722,0.0976,0.3812,0.2148,246.16,14990,1463,0.46,18-24
242,KOL_242,TH,beauty,55652,0.0907,0.7877,0.21,1113.19,14855,1347,0.02,25-34
243,KOL_243,SG,fashion,98754,0.1445,0.8183,0.2352,4970.5,30111,4351,0.56,25-34
244,KOL_244,PH,beauty,7636,0.2047,0.7601,0.3237,307.17,2111,432,0.45,25-34
245,KOL_245,MY,beauty,4519,0.1518,0.8661,0.33,686.25,1404,213,0.19,25-34
246,KOL_246,VN,home,2867,0.1691,0.6694,0.3097,72.86,917,155,0.59,25-34
247,KOL_247,TH,beauty,8501,0.2445,0.7942,0.3172,1083.39,2445,597,0.12,25-34
248,KOL_248,ID,fmcg,7116,0.2395,0.5928,0.2923,251.37,2277,545,0.64,35+
249,KOL_249,TH,fmcg,281650,0.0686,0.3982,0.1819,905.95,82177,5637,0.95,25-34
250,KOL_250,VN,fmcg,7290,0.2932,0.6465,0.2916,150.54,2277,667,0.49,18-24
251,KOL_251,ID,fmcg,38905,0.0673,0.6763,0.2366,269.39,12890,867,0.77,35+
252,KOL_252,TH,beauty,85066,0.0569,0.8763,0.256,1401.57,28497,1621,0.55,25-34
253,KOL_253,TH,beauty,5055,0.1834,0.6148,0.2939,589.86,1324,242,0.78,18-24
254,KOL_254,SG,fashion,6744,0.2812,0.5997,0.3285,2166.5,1897,533,0.81,35+
255,KOL_255,TH,home,5605,0.1975,0.9853,0.3073,510.78,1927,380,0.99,35+
256,KOL_256,TH,fashion,242176,0.1057,0.9431,0.1901,2613.75,64892,6859,0.25,35+
257,KOL_257,SG,home,5055,0.2656,0.6426,0.3128,1081.42,1456,386,0.45,35+
258,KOL_258,TH,fmcg,906234,0.0367,0.4948,0.215,1565.99,269457,9889,0.58,35+
259,KOL_259,SG,fmcg,8511,0.2404,0.8951,0.2718,1498.61,2567,617,0.82,25-34
260,KOL_260,PH,home,5646,0.1715,0.6963,0.3394,119.57,1460,250,0.05,35+
261,KOL_261,PH,beauty,581907,0.0352,0.4106,0.2192,553.41,173513,6107,0.2,35+
262,KOL_262,MY,home,781572,0.0569,0.9136,0.145,1508.69,244131,13891,0.66,35+
263,KOL_263,PH,beauty,7493,0.2404,0.8287,0.3204,340.79,1874,450,0.21,18-24
264,KOL_264,TH,beauty,4705,0.2005,0.3056,0.3488,497.89,1392,279,0.69,25-34
265,KOL_265,TH,home,7276,0.1287,0.3722,0.2637,247.78,1955,251,0.64,35+
266,KOL_266,TH,fashion,9691,0.2197,0.4149,0.3128,822.66,2578,566,0.92,35+
267,KOL_267,SG,fmcg,38474,0.0436,0.8267,0.2152,1032.52,11377,496,0.31,18-24
268,KOL_268,TH,beauty,2380,0.1542,0.8048,0.3348,483.71,763,117,0.88,18-24
269,KOL_269,ID,fmcg,76784,0.0588,0.7523,0.2186,344.71,21170,1244,0.5,35+
270,KOL_270,SG,fmcg,1197,0.3,0.3924,0.2865,438.17,387,116,0.17,25-34
271,KOL_271,ID,beauty,4231154,0.025,0.3097,0.1423,1033.97,1471604,36790,0.4,25-34
272,KOL_272,VN,fashion,75673,0.1215,0.5816,0.2077,408.79,21456,2606,0.08,18-24
273,KOL_273,VN,beauty,1651699,0.0505,0.744,0.081,580.51,527609,26644,0.73,18-24
274,KOL_274,MY,home,2412,0.2521,0.7286,0.3166,343.99,771,194,0.74,18-24
275,KOL_275,SG,home,3248,0.2161,0.9671,0.2667,817.84,876,189,0.75,25-34
276,KOL_276,TH,beauty,25473,0.1072,0.865,0.2063,842.86,8729,935,0.63,25-34
277,KOL_277,ID,home,57202,0.0511,0.4168,0.2573,203.89,19001,970,0.67,18-24
278,KOL_278,MY,fmcg,9336,0.1113,0.3086,0.2864,292.75,2487,276,0.18,18-24
